Location of help or hover text,Plain Text,Text with HTML tag
title.hover_text,A short title that contains a meaningful summary of the activity. This may be repeated for different languages. Click here for more information,A short title that contains a meaningful summary of the activity. This may be repeated for different languages.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/title/'>Click here for more information</a>
title.help_text,,
title.sub_elements.narrative.hover_text,"Enter a title for this activity. For example: ""Water for Women Malawi""","Enter a title for this activity. For example: ""Water for Women Malawi"""
title.sub_elements.narrative.help_text,,
title.sub_elements.narrative.attributes.language.hover_text,,
title.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
reporting_org.help_text,,
reporting_org.hover_text,"The organisation that is publishing data. If a primary reporter, the organisation is publishing data about itself. If a secondary reporter, it is publishing on the activities of another organisation. Click here for more information","The organisation that is publishing data. If a primary reporter, the organisation is publishing data about itself. If a secondary reporter, it is publishing on the activities of another organisation.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/organisation-standard/iati-organisations/iati-organisation/reporting-org/'>Click here for more information</a>"
reporting_org.attributes.ref.hover_text,Provide your organisation's IATI identifier. This was entered when you registered with IATI.,Provide your organisation's IATI identifier. This was entered when you registered with IATI.
reporting_org.attributes.ref.help_text,,
reporting_org.attributes.type.hover_text,Select the type that best describes your organisation.,Select the type that best describes your organisation.
reporting_org.attributes.type.help_text,,
reporting_org.attributes.secondary_reporter.hover_text,"If you are publishing data about your own organisation, select 'False'. If you are publishing data about another organisation, and are not officially assigned to report on its behalf, select 'True'.","If you are publishing data about your own organisation, select 'False'. If you are publishing data about another organisation, and are not officially assigned to report on its behalf, select 'True'."
reporting_org.attributes.secondary_reporter.help_text,,
reporting_org.sub_elements.narrative.hover_text,Enter your organisation's name. This can be repeated in multiple languages.,Enter your organisation's name. This can be repeated in multiple languages.
reporting_org.sub_elements.narrative.help_text,,
reporting_org.sub_elements.narrative.attributes.lang.hover_text,,
reporting_org.sub_elements.narrative.attributes.lang.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
iati_identifier.attributes.activity_identifier.hover_text,"Enter a unique series of letters or numbers to identify your activity - e.g. ""PROJECT-00120467"" or ""AFG-COVAX"". Each of your activities must have a unique identifier. Once you have published an activity, its IATI identifier will not change. Click here for more information.","Enter a unique series of letters or numbers to identify your activity - e.g. ""PROJECT-00120467"" or ""AFG-COVAX"". Each of your activities must have a unique identifier. Once you have published an activity, its IATI identifier will not change.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/standard-overview/preparing-your-data/activity-information/creating-iati-identifiers/'>Click here for more information</a>"
iati_identifier.attributes.activity_identifier.help_text,,
iati_identifier.attributes.iati_identifier_text.hover_text,"Enter a unique series of letters or numbers to identify your activity - e.g. ""PROJECT-00120467"" or ""AFG-COVAX"". Each of your activities must have a unique identifier. Once you have published an activity, its IATI identifier will not change. Click here for more information.","Enter a unique series of letters or numbers to identify your activity - e.g. ""PROJECT-00120467"" or ""AFG-COVAX"". Each of your activities must have a unique identifier. Once you have published an activity, its IATI identifier will not change.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/standard-overview/preparing-your-data/activity-information/creating-iati-identifiers/'>Click here for more information</a>"
iati_identifier.attributes.iati_identifier_text.help_text,,
other_identifier.hover_text,"Another identifier for the activity. This may be an identifier internal to your organisation that you want to record with the activity, or your previous organisation identifier if this has changed. Click here for more information","Another identifier for the activity. This may be an identifier internal to your organisation that you want to record with the activity, or your previous organisation identifier if this has changed.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/other-identifier/'>Click here for more information</a>"
other_identifier.attributes.reference.hover_text,Enter the other identifier related to this activity.,Enter the other identifier related to this activity.
other_identifier.attributes.reference.help_text,,
other_identifier.attributes.reference_type.hover_text,Select which type of identifier you are providing.,Select which type of identifier you are providing.
other_identifier.attributes.reference_type.help_text,,
other_identifier.sub_elements.owner_org.hover_text,"Where applicable, this is the organisation that owns the other identifier being reported. This may be your own organisation.","Where applicable, this is the organisation that owns the other identifier being reported. This may be your own organisation."
other_identifier.sub_elements.owner_org.attributes.ref.hover_text,Enter the organisation’s IATI organisation identifier. If you cannot provide an identifier then you must provide the name of the organisation. Click here for information on how to find other organisations' identifiers,Enter the organisation’s IATI organisation identifier. If you cannot provide an identifier then you must provide the name of the organisation.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/publishing-data/data-quality-and-visualisation/finding-other-organisations-identifiers/'>Click here for information on how to find other organisations' identifiers</a>. 
other_identifier.sub_elements.owner_org.attributes.ref.help_text,,
other_identifier.sub_elements.owner_org.sub_elements.narrative.hover_text,Provide a description of the other identifier for the activity.,Provide a description of the other identifier for the activity.
other_identifier.sub_elements.owner_org.sub_elements.narrative.help_text,,
other_identifier.sub_elements.owner_org.sub_elements.narrative.attributes.language.hover_text,,
other_identifier.sub_elements.owner_org.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
description.hover_text,A longer description that explains what the activity is. This may be repeated in multiple languages. Click here for more information,A longer description that explains what the activity is. This may be repeated in multiple languages.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/description/'>Click here for more information</a>
description.attributes.type.hover_text,Select the type of description that you are providing. Click here for information on description types.,Select the type of description that you are providing.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/descriptiontype/'>Click here for information on description types</a>
description.attributes.type.help_text,,
description.sub_elements.narrative.hover_text,Enter a description for your activity.,Enter a description for your activity.
description.sub_elements.narrative.help_text,,
description.sub_elements.narrative.attributes.language.hover_text,,
description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
activity_status.help_text,,
activity_status.hover_text,"The activity status describes which stage of implementation the activity is currently at. You can publish activities that are already completed, currently happening or not yet started. As the activity progresses over time, the activity status should be updated.","The activity status describes which stage of implementation the activity is currently at. You can publish activities that are already completed, currently happening or not yet started. As the activity progresses over time, the activity status should be updated."
activity_status.attributes.activity_status.hover_text,An IATI code defining the current status of the activity. Click here for more information on activity statuses,An IATI code defining the current status of the activity.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/activity-status/'>Click here for more information on activity statuses</a>
activity_status.attributes.activity_status.help_text,,
activity_date.hover_text,"The start and end dates of the activity. Start dates may reflect the beginning of funding, planning or physical activity. End dates should, wherever possible, reflect the ending of physical activity. Click here for more information","The start and end dates of the activity. Start dates may reflect the beginning of funding, planning or physical activity. End dates should, wherever possible, reflect the ending of physical activity.<br><br><a target='_blank' href='https://iatistandard.org/en/guidance/standard-guidance/activity-dates-status/'>Click here for more information</a>"
activity_date.attributes.type.hover_text,Select the type of activity date that you are entering.,Select the type of activity date that you are entering.
activity_date.attributes.type.help_text,,
activity_date.attributes.date.hover_text,Enter the relevant date for your activity.,Enter the relevant date for your activity.
activity_date.attributes.date.help_text,,
activity_date.sub_elements.narrative.hover_text,Provide any accompanying information or explanation for your chosen activity date.,Provide any accompanying information or explanation for your chosen activity date.
activity_date.sub_elements.narrative.help_text,,
activity_date.sub_elements.narrative.attributes.language.hover_text,,
activity_date.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
activity_scope.hover_text,"The geographical scope of the activity: regional, national, sub-national, etc.","The geographical scope of the activity: regional, national, sub-national, etc."
activity_scope.attributes.activity_scope.hover_text,Select an option that best describes the scope of this activity. Click here for more information on activity scopes,Select an option that best describes the scope of this activity.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/activityscope/'>Click here for more information on activity scopes</a>
activity_scope.attributes.activity_scope.help_text,,
recipient_country.help_text,,
recipient_country.hover_text,"A country that will benefit from this activity. If a specific country is not known, the 'recipient-region' element should be used instead. Multiple countries and regions can be reported, in which case the percentage share of total commitments across all reported countries and regions must total 100%. Recipient country can also be specified at transaction rather than activity level. Click here for more information","A country that will benefit from this activity. If a specific country is not known, the 'recipient-region' element should be used instead. Multiple countries and regions can be reported, in which case the percentage share of total commitments across all reported countries and regions must total 100%. Recipient country can also be specified at transaction rather than activity level.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/recipient-country/'>Click here for more information</a>"
recipient_country.attributes.country_code.hover_text,Select a country benefitting from this activity.,Select a country benefitting from this activity.
recipient_country.attributes.country_code.help_text,,
recipient_country.attributes.percentage.hover_text,"The percentage of total commitments or total activity budget benefitting this country. This should be a number between 0 and 100 inclusive, with no percentage sign. Percentages for all reported countries and regions must add up to 100% for the activity.","The percentage of total commitments or total activity budget benefitting this country. This should be a number between 0 and 100 inclusive, with no percentage sign. Percentages for all reported countries and regions must add up to 100% for the activity."
recipient_country.attributes.percentage.help_text,,
recipient_country.sub_elements.narrative.hover_text,Add an optional name or description of the country benefitting from the activity.,Add an optional name or description of the country benefitting from the activity.
recipient_country.sub_elements.narrative.help_text,,
recipient_country.sub_elements.narrative.attributes.language.hover_text,,
recipient_country.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
recipient_region.help_text,,
recipient_region.hover_text,"If you cannot identify specific countries benefitting from this activity, then you should provide the region instead. You can specify multiple recipient countries and regions, provided the total percentage across them totals 100%.","If you cannot identify specific countries benefitting from this activity, then you should provide the region instead. You can specify multiple recipient countries and regions, provided the total percentage across them totals 100%.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/recipient-region/'>Click here for more information</a>"
recipient_region.attributes.region_vocabulary.hover_text,"You can select regions from the 'OECD DAC', 'UN' or your own internal codelist. IATI recommends that you use the 'OECD DAC' codelist. If you do not choose an option, then the codelist 'OECD DAC' is assumed. Click here for more information on these codelists","You can select regions from the 'OECD DAC', 'UN' or your own internal codelist. IATI recommends that you use the 'OECD DAC' codelist. If you do not choose an option, then the codelist 'OECD DAC' is assumed.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/regionvocabulary/'>Click here for more information on these codelists</a>."
recipient_region.attributes.region_vocabulary.help_text,,
recipient_region.attributes.region_code.hover_text,"Select the region benefitting from this activity. If vocabulary ‘99 - Reporting Organisation' has been selected, enter a code from your own region list.","Select the region benefitting from this activity. If vocabulary ‘99 - Reporting Organisation' has been selected, enter a code from your own region list."
recipient_region.attributes.region_code.help_text,,
recipient_region.attributes.custom_code.hover_text,"Select the region benefitting from this activity. If vocabulary ‘99 - Reporting Organisation' has been selected, enter a code from your own region list.","Select the region benefitting from this activity. If vocabulary ‘99 - Reporting Organisation' has been selected, enter a code from your own region list."
recipient_region.attributes.custom_code.help_text,,
recipient_region.attributes.vocabulary_uri.hover_text,"If you have selected the vocabulary ‘99 - Reporting Organisation’, provide a link to where this internal list is defined.","If you have selected the vocabulary ‘99 - Reporting Organisation’, provide a link to where this internal list is defined."
recipient_region.attributes.vocabulary_uri.help_text,,
recipient_region.attributes.percentage.hover_text,"The percentage of total commitments or total activity budget benefitting this region. This should be a number between 0 and 100 inclusive, with no percentage sign. Percentages for all reported countries and regions must add up to 100% for the activity. For example, if you know that 80% of funding is going to Uganda, you can specify that the unknown 20% is going to the region of Africa.","The percentage of total commitments or total activity budget benefitting this region. This should be a number between 0 and 100 inclusive, with no percentage sign. Percentages for all reported countries and regions must add up to 100% for the activity. For example, if you know that 80% of funding is going to Uganda, you can specify that the unknown 20% is going to the region of Africa."
recipient_region.attributes.percentage.help_text,,
recipient_region.sub_elements.narrative.hover_text,Add an optional name or description of the region benefitting from the activity.,Add an optional name or description of the region benefitting from the activity.
recipient_region.sub_elements.narrative.help_text,,
recipient_region.sub_elements.narrative.attributes.language.hover_text,,
recipient_region.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
sector.hover_text,"Information on the sector that the activity targets or supports, such as primary education or agriculture. You must select at least one sector and can have multiple. Click here for more information","Information on the sector that the activity targets or supports, such as primary education or agriculture. You must select at least one sector and can have multiple.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/sector/'>Click here for more information</a>"
sector.help_text,,
sector.attributes.sector_vocabulary.hover_text,"Choose the codelist that you will select sectors from. IATI recommends using the OECD DAC 5-digit sector codelist. If you want to use your organisation’s own list of internal sector classifications, select the option: ‘99 - Reporting Organisation’. ","Choose the codelist that you will select sectors from. IATI recommends using the OECD DAC 5-digit sector codelist. If you want to use your organisation’s own list of internal sector classifications, select the option: ‘99 - Reporting Organisation’. "
sector.attributes.sector_vocabulary.help_text,,
sector.attributes.vocabulary_uri.hover_text,"If you have chosen to use an internal sector classification codelist, provide a link to where this is defined.","If you have chosen to use an internal sector classification codelist, provide a link to where this is defined."
sector.attributes.vocabulary_uri.help_text,,
sector.attributes.code.hover_text,Select the sector that the activity is targeting or supporting. You can choose more than one sector.,Select the sector that the activity is targeting or supporting. You can choose more than one sector.
sector.attributes.code.help_text,,
sector.attributes.text.hover_text,Select the sector that the activity is targeting or supporting. You can choose more than one sector.,Select the sector that the activity is targeting or supporting. You can choose more than one sector.
sector.attributes.text.help_text,,
sector.attributes.category_code.hover_text,Select the sector that the activity is targeting or supporting. You can choose more than one sector.,Select the sector that the activity is targeting or supporting. You can choose more than one sector.
sector.attributes.category_code.help_text,,
sector.attributes.sdg_goal.hover_text,Select the sector that the activity is targeting or supporting. You can choose more than one sector.,Select the sector that the activity is targeting or supporting. You can choose more than one sector.
sector.attributes.sdg_goal.help_text,,
sector.attributes.sdg_target.hover_text,Select the sector that the activity is targeting or supporting. You can choose more than one sector.,Select the sector that the activity is targeting or supporting. You can choose more than one sector.
sector.attributes.sdg_target.help_text,,
sector.attributes.percentage.hover_text,"If you have selected more than one sector (from the same list), each sector must be given a percentage. For example, using the OECD DAC 5-digit sector codelist, you can allocate 50% of the activity's funding to ‘teacher training’ (11130) and 50% to ‘primary education’ (11220). The percentage should be a number between 0 and 100 inclusive, with no percentage sign.","If you have selected more than one sector (from the same list), each sector must be given a percentage. For example, using the OECD DAC 5-digit sector codelist, you can allocate 50% of the activity's funding to ‘teacher training’ (11130) and 50% to ‘primary education’ (11220). The percentage should be a number between 0 and 100 inclusive, with no percentage sign."
sector.attributes.percentage.help_text,,
sector.sub_elements.narrative.hover_text,"If you have chosen a sector from an internal classification codelist, please provide a description of this sector.","If you have chosen a sector from an internal classification codelist, please provide a description of this sector."
sector.sub_elements.narrative.help_text,,
sector.sub_elements.narrative.attributes.language.hover_text,,
sector.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
tag.hover_text,"You can provide other useful information about your activity by ‘tagging’ it using categorisations such as the UN Sustainable Development Goal(s). Unlike categorisations reported in the 'sector' element, tags are not associated with percentage splits on finances.","You can provide other useful information about your activity by ‘tagging’ it using categorisations such as the UN Sustainable Development Goal(s). Unlike categorisations reported in the 'sector' element, tags are not associated with percentage splits on finances."
tag.help_text,,
tag.attributes.tag_vocabulary.hover_text,Select the vocabulary or taxonomy used for tag classifications. You may choose to tag your activity according to an internal category list by choosing ‘99 - Reporting Organisation’.,Select the vocabulary or taxonomy used for tag classifications. You may choose to tag your activity according to an internal category list by choosing ‘99 - Reporting Organisation’.
tag.attributes.tag_vocabulary.help_text,,
tag.attributes.goals_tag_code.hover_text,Choose a category from the list you have selected.,Choose a category from the list you have selected.
tag.attributes.goals_tag_code.help_text,,
tag.attributes.targets_tag_code.hover_text,Choose a category from the list you have selected.,Choose a category from the list you have selected.
tag.attributes.targets_tag_code.help_text,,
tag.attributes.tag_text.hover_text,Choose a category from the list you have selected.,Choose a category from the list you have selected.
tag.attributes.tag_text.help_text,,
tag.attributes.vocabulary_uri.hover_text,Provide a link to your chosen list.,Provide a link to your chosen list.
tag.attributes.vocabulary_uri.help_text,,
tag.sub_elements.narrative.hover_text,You can provide additional information on the category that you have chosen.,You can provide additional information on the category that you have chosen.
tag.sub_elements.narrative.help_text,,
tag.sub_elements.narrative.attributes.language.hover_text,,
tag.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
policy_marker.hover_text,"You can provide information about the policy or theme addressed by your activity, such as 'disability' or 'nutrition'. An activity can have multiple policy markers. Click here for more information","You can provide information about the policy or theme addressed by your activity, such as 'disability' or 'nutrition'. An activity can have multiple policy markers.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/policy-marker/'>Click here for more information</a>"
policy_marker.help_text,,
policy_marker.attributes.policy_marker_vocabulary.hover_text,Select a list that includes the policy marker(s) related to your activity.1 - OECD DAC CRS - IATI recommends that you select this list which has 12 options to choose from.99 - Reporting Organisation - choose this option if you want to use a policy marker that is defined and tracked by your organisation.,Select a list that includes the policy marker(s) related to your activity.<br><br><b>1 - OECD DAC CRS</b> - IATI recommends that you select this list which has 12 options to choose from.<br><br><b>99 - Reporting Organisation</b> - choose this option if you want to use a policy marker that is defined and tracked by your organisation.
policy_marker.attributes.policy_marker_vocabulary.help_text,,
policy_marker.attributes.vocabulary_uri.hover_text,"If you have selected the vocabulary '99 - Reporting Organisation', provide a link to where your organisation's policy markers are listed.","If you have selected the vocabulary '99 - Reporting Organisation', provide a link to where your organisation's policy markers are listed."
policy_marker.attributes.vocabulary_uri.help_text,,
policy_marker.attributes.significance.hover_text,"If you have chosen a policy marker from the OECD DAC CRS list, indicate here how significant it is for your activity. Click here for more information on the significance levels","If you have chosen a policy marker from the OECD DAC CRS list, indicate here how significant it is for your activity.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/policysignificance/'>Click here for more information on the significance levels</a>"
policy_marker.attributes.significance.help_text,,
policy_marker.attributes.policy_marker.hover_text,Provide the code for the policy or theme addressed by your activity.,Provide the code for the policy or theme addressed by your activity.
policy_marker.attributes.policy_marker.help_text,,
policy_marker.attributes.policy_marker_text.hover_text,Provide the code for the policy or theme addressed by your activity.,Provide the code for the policy or theme addressed by your activity.
policy_marker.attributes.policy_marker_text.help_text,,
policy_marker.sub_elements.narrative.hover_text,"If you have selected vocabulary '99 - Reporting Organisation', please provide a description for the policy marker that you have chosen.","If you have selected vocabulary '99 - Reporting Organisation', please provide a description for the policy marker that you have chosen."
policy_marker.sub_elements.narrative.help_text,,
policy_marker.sub_elements.narrative.attributes.language.hover_text,,
policy_marker.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
collaboration_type.hover_text,"The type of collaboration involved in the activity’s funding disbursements, e.g. “bilateral” or “multilateral”. Click here for more information","The type of collaboration involved in the activity’s funding disbursements, e.g. “bilateral” or “multilateral”.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/collaborationtype/'>Click here for more information</a>"
collaboration_type.help_text,,
collaboration_type.attributes.collaboration_type.hover_text,"Select a collaboration type, if applicable to your activity.","Select a collaboration type, if applicable to your activity."
collaboration_type.attributes.collaboration_type.help_text,,
default_flow_type.hover_text,"Flow type is a way to categorise financial flows. It distinguishes between official development assistance (ODA), other official flows (OOF), or several types of private flows. Click here for more information","Flow type is a way to categorise financial flows. It distinguishes between official development assistance (ODA), other official flows (OOF), or several types of private flows.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/flowtype/'>Click here for more information</a>"
default_flow_type.help_text,,
default_flow_type.attributes.default_flow_type.hover_text,"If this activity’s funds can be classified by one of these options, make a selection here. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. ","If this activity’s funds can be classified by one of these options, make a selection here. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. "
default_flow_type.attributes.default_flow_type.help_text,,
default_finance_type.hover_text,"The financial instrument that is being used for this activity. For example, financing is most commonly delivered as a grant or a loan. Click here for more information","The financial instrument that is being used for this activity. For example, financing is most commonly delivered as a grant or a loan.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/financetype/'>Click here for more information</a>"
default_finance_type.help_text,,
default_finance_type.attributes.default_finance_type.hover_text,Select the finance type that best applies to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. ,Select the finance type that best applies to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. 
default_finance_type.attributes.default_finance_type.help_text,,
default_aid_type.hover_text,"The type of aid being supplied (project-type intervention, budget support, debt relief, etc.). Click here for more information","The type of aid being supplied (project-type intervention, budget support, debt relief, etc.).<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/aidtype/'>Click here for more information</a>"
default_aid_type.help_text,,
default_aid_type.attributes.default_aid_type_vocabulary.hover_text,"Select a list that includes the aid type for your activity, if applicable. You can choose to select an aid type from more than one list.","Select a list that includes the aid type for your activity, if applicable. You can choose to select an aid type from more than one list."
default_aid_type.attributes.default_aid_type_vocabulary.help_text,,
default_aid_type.attributes.default_aid_type.hover_text,Select the aid type most relevant to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. ,Select the aid type most relevant to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. 
default_aid_type.attributes.default_aid_type.help_text,,
default_aid_type.attributes.earmarking_category.hover_text,Select the aid type most relevant to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. ,Select the aid type most relevant to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. 
default_aid_type.attributes.earmarking_category.help_text,,
default_aid_type.attributes.earmarking_modality.hover_text,Select the aid type most relevant to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. ,Select the aid type most relevant to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. 
default_aid_type.attributes.earmarking_modality.help_text,,
default_aid_type.attributes.cash_and_voucher_modalities.hover_text,Select the aid type most relevant to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. ,Select the aid type most relevant to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. 
default_aid_type.attributes.cash_and_voucher_modalities.help_text,,
default_tied_status.hover_text,"Whether funding is untied, tied, or partially tied. Tied funding must be spent on goods or services procured from a particular country or group of countries. Click here for more information","Whether funding is untied, tied, or partially tied. Tied funding must be spent on goods or services procured from a particular country or group of countries.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/codelists/tiedstatus/'>Click here for more information</a>"
default_tied_status.help_text,,
default_tied_status.attributes.default_tied_status.hover_text,Select the tied status most relevant to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. ,Select the tied status most relevant to your activity. This the default value for all transactions of the activity; it can be overridden for individual transactions if needed. 
default_tied_status.attributes.default_tied_status.help_text,,
country_budget_items.hover_text,Alignment of the activity with the functional and administrative classifications used in the recipient country’s Chart of Accounts. Click here for more information,Alignment of the activity with the functional and administrative classifications used in the recipient country’s Chart of Accounts.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/country-budget-items/'>Click here for more information</a>
