 Activity Identifier, Activity Default Currency, Activity Default Language, Humanitarian, Activity Title, Activity Description (General), Activity Description (Objectives), Activity Description (Target Groups), Activity Description (Others), Activity Status, Actual Start Date, Actual End Date, Planned Start Date, Planned End Date, Participating Organisation Role, Participating Organisation Type, Participating Organisation Name, Participating Organisation Identifier, Recipient Country Code, Recipient Country Percentage, Recipient Region Code, Recipient Region Percentage, Sector Vocabulary,Sector Vocabulary URI, Sector Code, Sector Percentage, Sector Narrative, Transaction Internal Reference, Transaction Type, Transaction Date, Transaction Value, Transaction Value Date, Transaction Description, Transaction Provider Organisation Identifier, Transaction Provider Organisation Type, Transaction Provider Organisation Activity Identifier, Transaction Provider Organisation Description, Transaction Receiver Organisation Identifier, Transaction Receiver Organisation Type, Transaction Receiver Organisation Activity Identifier, Transaction Receiver Organisation Description, Transaction Sector Vocabulary, Transaction Sector Vocabulary URI, Transaction Sector Code,Transaction Sector Narrative, Transaction Recipient Country Code, Transaction Recipient Region Code, Policy Marker Vocabulary, Policy Marker Code, Policy Marker Significance, Activity Scope, Budget Type, Budget Status, Budget Period Start, Budget Period End, Budget Value, Budget Value Date, Budget Currency, Related Activity Identifier, Related Activity Type, Contact Type, Contact Organization, Contact Department, Contact Person Name, Contact Job Title, Contact Telephone, Contact Email, Contact Website, Contact Mailing Address
4213-AW,USD,en,0,Asycuda World 123,"The GoDRC (DGDA) has initiated the migration from ASYCUDA++ Customs Management System to ASYCUDA World, a web base platform in partnership with UNCTAD. Many Customs offices in East DRC still on ASYCUDA ++ or are still using a manual system to clear goods. TMEA in partnership with the Directorate General of Customs (DGDA) and UNCTAD is supporting to fill the gap of the ASYCUDA World deployment in eastern DRC. The project is in line with TMEA’s goal to reduce transport costs and times on main corridors. The project will streamline Customs procedures for faster clearance with less paperwork, increase country’s tax revenue generated from taxes on trade, provided by the DGDA increased compliance and adoption of better risk-based approaches to controlling borders. The work of DGDA will be supported by UNCTAD who will provide installation, training and  maintenance support of ASYCUDA World. ",,,,2,2018/07/01,,2018/07/01,2022/06/30,4,23,TradeMark East Africa,,CD,100,298,,1,,33120,50,,,3,2025/10/31,1060710,2023/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2019/10/31 to 2019/12/31,,,,,,,,,,,,,,,1,1,0,2,2,2,2019/12/31,2019/12/31,0,2019/12/31,USD,related activity,1,1,sf,sdf,person name,job title,9876766767,test@email.com,http://localhost:8000/activity/1/contact_info,test
,,,,,,,,,,,,,,,,,,,,298,,1,,22040,50,,,3,2020/01/31,1947,2024/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/01/31 to 2020/03/31,,,,,,,,,,,,,,,,,,,2,2,2020/03/31,2020/03/31,0,2020/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/04/30,475799,2020/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/04/30 to 2020/06/30,,,,,,,,,,,,,,,,,,,2,2,2020/06/30,2020/06/30,0,2020/06/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/07/30,695,2020/09/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/07/30 to 2020/09/30,,,,,,,,,,,,,,,,,,,2,2,2020/09/30,2020/09/30,0,2020/09/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/04/30,633,2021/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/04/30 to 2021/06/30,,,,,,,,,,,,,,,,,,,2,2,2021/06/30,2021/06/30,1539151,2021/06/30,USD,,,,,,,,,,,
4210-RECTS,USD,en,0,Regional Electronic Cargo Tracking - DRC,TMEA is supporting the DRC Customs Administration (DGDA) to extend Regional Electronic Cargo Tracking System (RECTS) along the Northern Corridor to DRC. Introduction of an Electronic Cargo Tracking System on Northern Corridor will reduce transit related costs by reducing transit time, reducing physical inspections by customs transactions due to reduced risks.,,,2,2018/07/01,,2018/07/01,2021/12/31,4,23,TradeMark East Africa,,CD,100,298,,1,,33120,50,,,3,2019/10/31,177026,2019/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2019/10/31 to 2019/12/31,,,,,,,,,,,,,,,,,,,2,2,2019/12/31,2019/12/31,0,2019/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,22040,50,,,3,2020/01/31,55,2020/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/01/31 to 2020/03/31,,,,,,,,,,,,,,,,,,,2,2,2020/03/31,2020/03/31,0,2020/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/04/30,2301,2020/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/04/30 to 2020/06/30,,,,,,,,,,,,,,,,,,,2,2,2020/06/30,2020/06/30,0,2020/06/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/07/30,-39,2020/09/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/07/30 to 2020/09/30,,,,,,,,,,,,,,,,,,,2,2,2020/09/30,2020/09/30,0,2020/09/30,USD,,,,,http://localhost:8000/activity/1/contact_info,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/04/30,0,2021/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/04/30 to 2021/06/30,,,,,,,,,,,,,,,,,,,2,2,2021/06/30,2021/06/30,179343,2021/06/30,USD,,,,,,,,,,,
